"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"21/0234",-2.4842506484215,0.677618374570152,-1.16712432510477,-1.39456559659261,-0.943335380083532
"21/0138",-0.49458313419658,1.32050295800195,-0.411164657618176,0.098258084885898,-0.26670871573343
"21/0198",5.04486376441764,-0.286594633083506,-2.66868961710961,-0.521208972141712,0.41649557659386
"21/0054",1.89774386760215,1.95831306143471,-0.880609625237532,-0.76713216277117,0.443721338318749
"21/0069",5.78024169660192,0.685158920809629,-0.501605571812635,0.88075399491326,0.0797281438179353
"21/0249",1.20467024546405,-0.0624155194438057,-0.645252617180645,0.249084227435499,0.807496355315871
"21/0008",4.88013620160237,0.964097976188475,0.984508552365109,0.503062514700947,0.433810361128537
"21/0283",-0.920987265350038,0.702422032941968,0.133232452758538,0.71182283542143,-0.286693566822878
"21/0287",-0.965329738165119,0.688200485702353,0.0919964398247625,-1.02971719267823,0.790564257085296
"21/0252",0.614844581547477,-0.575105655596317,0.744940493538968,-0.706116317849535,0.0368726263035835
"21/0290",0.840448203303941,-2.31812264129893,0.975178373858396,0.133901098648872,-0.131976484273422
"21/0194",-1.19080504580353,-0.169104079941787,0.186204189912986,0.615396838022953,-0.547144663842063
"21/0304",-0.591411258208797,-1.2160697670935,-0.744130589410487,-0.335438023407575,0.138040194327516
"21/0236",3.33328256077684,0.286811499455682,-0.26821536979261,0.873228481194315,-0.785183317042981
"21/0196",2.30012748345815,-2.85325012511209,0.953470091989518,1.66848414601543,-1.28160891998481
"21/0060",-2.00086800108277,0.76490194647601,0.867096651680116,0.289799531981047,0.0462984000174375
"21/0110",-1.30101479950907,3.2517803959946,-0.292089658226872,0.604485283481767,-0.306340460911228
"21/0160",-3.00396018889436,1.39789296798886,-0.461136468195277,-0.00733855722602704,0.972098782731806
"21/0130",2.72106437462189,0.380052953861031,0.727549200200923,-0.250055664473203,-1.98562288193246
"20/0012",1.40846874610581,1.53073276798557,-0.167298826391049,-1.90009825849882,0.0316388812115217
"21/0257",-0.453776036256715,0.829542098791469,1.07296762245872,1.82667484155564,-1.51898434787413
"21/0063",0.342498867137244,1.96917571678557,1.55254345835632,-0.0192518431207213,-0.00463138177607212
"21/0057",0.61828075615917,-1.8280235295623,-0.869636162371204,0.0477669518660291,-0.32365285833123
"21/0117",-3.16792477922836,1.56325847717795,1.07847264648036,0.523812054335404,0.72067785854632
"21/0067",4.27693873041496,-1.35699260483391,0.428507592783592,-0.493983665025053,-0.0631519041012578
"20/0191",-3.85169852925421,-0.743858886012068,3.22943635096811,-2.34091163638168,1.01936588993486
"21/0021",-1.18523667208393,-0.995394624230693,1.62412287435232,-0.458021063255987,1.42791867624851
"21/0203",1.10263768748935,-0.000466793303356492,-0.709024355882081,1.46818360949462,-0.22948819150321
"20/0192",-2.30066867212037,0.5394186681473,1.91151481452643,-2.09852459705114,0.0241667084527399
"21/0048",6.27972810604757,1.64016528894697,-1.09987640959328,-0.331533661797495,-0.0418746492046773
"21/0103",2.21776908770716,-0.326142690362901,1.33946756037747,0.504067205981687,0.372794875530772
"21/0028",6.58834625524358,1.2088586439486,-1.69177221666487,-0.697844354781058,-0.254140926542095
"21/0274",1.72169542357983,-1.959839074649,-0.25581258788002,-0.375179530012066,-1.07308095048267
"21/0040",-0.65272825800306,1.898709854329,-1.20881899955261,-1.33827704554883,-0.552202343097812
"21/0293",4.19603474928994,-0.918059618557309,-1.79121623391782,-2.01194687947731,-0.0313128696716674
"21/0091",2.69828495353736,-1.6435257532841,0.0552474437372349,-0.622647561420266,0.0718358667268
"21/0047",5.38161293628752,-0.643236906157038,-0.622636048780331,0.173143853002569,-0.854271002817472
"21/0306",1.46922569193438,-0.875834882970926,-1.46995353056174,1.03276755312963,0.444012228633298
"21/0156",-4.27361568212935,0.474103525839116,-0.545601498463096,0.804831103552543,0.862660721713039
"21/0068",1.0743787155409,-2.0723623740513,-0.375010013584774,0.286230465589882,0.477798813388591
"21/0148",2.12734148306871,0.153854802738392,2.44267644086921,0.808271587177851,-2.98152713096249
"21/0106",-2.67111584075032,-1.78840073210636,-0.620245062783694,-0.462382992560329,-1.34666989659417
"21/0254",4.02310478744528,1.18429897325513,1.18493485415566,1.49659286090029,0.945864148079015
"21/0195",-1.6493272027466,1.66590920176165,0.607828406101339,-0.167718458632939,-0.944300199816996
"21/0022",1.40312220586593,1.72952509315227,0.899547217116447,0.703376216312519,0.909533015601238
"21/0051",-1.64972623314114,0.646378466960126,2.35864887948966,-0.937257699428285,0.150741828365219
"21/0083",2.02515180489437,0.060676379206299,-0.29107056084824,0.782778485802968,0.337476286394189
"21/0176",1.6444883595329,0.449915433299136,0.456368764898548,-0.891571901886029,0.607632260384362
"21/0170",-2.47906110901724,-2.24105455027917,-0.36346655682892,1.85531721189456,-0.020821192361672
"21/0239",-2.51893360062188,0.272049682399491,0.0709402981612933,0.196878140223983,1.19827357451384
"21/0150",0.578504948462153,-0.798498639006815,-0.117622210596379,-1.10732208551768,-0.283998198615672
"21/0280",2.2388016398916,-2.82440736994947,1.39340648462171,0.328289597200198,1.13327871336842
"21/0206",3.53147120394874,-2.27873867236576,0.838281829582384,-0.406639885676448,-0.218833150970202
"21/0077",3.27695616386719,0.343257287142988,0.05730654212294,-0.534593433521074,-0.843951267286871
"21/0084",-3.89961632781053,1.38453933550333,-0.81673519385241,-0.318237438976517,-1.27181801556523
"21/0052",0.915635991761652,-1.90361127991761,-0.751655916141546,1.02344073308447,0.0739177217191861
"21/0099",0.919648946564777,2.13528925588928,0.918586026395576,-0.108494575315124,0.51979323846126
"21/0308",0.192654636063378,-1.58512142206593,-0.550056904115922,-0.83345542511837,0.296758823825258
"21/0147",2.36652454534495,1.92160827515259,0.0603764822836723,-0.982398564311076,-1.09757205165786
"21/0066",0.995659794974192,-1.92286194517339,1.30493777458208,0.00357865345118507,-0.826384125039559
"21/0115",-2.99676905000226,0.342016103177658,-2.439351753495,0.310232328341066,0.932319065435529
